6 1 2 3 0 0 0 0 0 0
6 1 2 3 0 0 0 0 0 0
6 1 2 3 0 0 0 0 0 0
6 1 2 3 0 0 0 0 0 0
7	1	4	0.01	1e6	0	0	0	0	0
7	5	3	0.01	1e6	0	0	0	0	0
7	2	4	0.01	1e6	0	0	0	0	0
7	5	1	0.01	1e6	0	0	0	0	0
7	3	4	0.01	1e6	0	0	0	0	0
7	5	2	0.01	1e6	0	0	0	0	0
1	5	0	1e6	0	0	0	0	0	0
3	4	5	0.001	0	0	0	0	0	0
7	1	6	0.01	1e6	0	0	0	0	0
7	7	3	0.01	1e6	0	0	0	0	0
7	2	6	0.01	1e6	0	0	0	0	0
7	7	1	0.01	1e6	0	0	0	0	0
7	3	6	0.01	1e6	0	0	0	0	0
7	7	2	0.01	1e6	0	0	0	0	0
1	7	0	1e6	0	0	0	0	0	0
3	6	7	0.001	0	0	0	0	0	0
7	1	8	0.01	1e6	0	0	0	0	0
7	9	3	0.01	1e6	0	0	0	0	0
7	2	8	0.01	1e6	0	0	0	0	0
7	9	1	0.01	1e6	0	0	0	0	0
7	3	8	0.01	1e6	0	0	0	0	0
7	9	2	0.01	1e6	0	0	0	0	0
1	9	0	1e6	0	0	0	0	0	0
3	8	9	0.001	0	0	0	0	0	0
7	1	10	0.01	1e6	0	0	0	0	0
7	11	3	0.01	1e6	0	0	0	0	0
7	2	10	0.01	1e6	0	0	0	0	0
7	11	1	0.01	1e6	0	0	0	0	0
7	3	10	0.01	1e6	0	0	0	0	0
7	11	2	0.01	1e6	0	0	0	0	0
1	11	0	1e6	0	0	0	0	0	0
3	10	11	0.001	0	0	0	0	0	0
11	12	13	18	27	1	0.01	1e6	0	0
1	13	0	1e6	0	0	0	0	0	0
11	14	15	28	37	2	0.01	1e6	0	0
1	15	0	1e6	0	0	0	0	0	0
11	16	17	38	47	3	0.01	1e6	0	0
1	17	0	1e6	0	0	0	0	0	0
15	18	47	0	0	0	0	0	0	0
1	18	0	1e6	0	0	0	0	0	0
1	19	0	1e6	0	0	0	0	0	0
1	20	0	1e6	0	0	0	0	0	0
1	21	0	1e6	0	0	0	0	0	0
1	22	0	1e6	0	0	0	0	0	0
1	23	0	1e6	0	0	0	0	0	0
1	24	0	1e6	0	0	0	0	0	0
1	25	0	1e6	0	0	0	0	0	0
1	26	0	1e6	0	0	0	0	0	0
1	27	0	1e6	0	0	0	0	0	0
1	28	0	1e6	0	0	0	0	0	0
1	29	0	1e6	0	0	0	0	0	0
1	30	0	1e6	0	0	0	0	0	0
1	31	0	1e6	0	0	0	0	0	0
1	32	0	1e6	0	0	0	0	0	0
1	33	0	1e6	0	0	0	0	0	0
1	34	0	1e6	0	0	0	0	0	0
1	35	0	1e6	0	0	0	0	0	0
1	36	0	1e6	0	0	0	0	0	0
1	37	0	1e6	0	0	0	0	0	0
1	38	0	1e6	0	0	0	0	0	0
1	39	0	1e6	0	0	0	0	0	0
1	40	0	1e6	0	0	0	0	0	0
1	41	0	1e6	0	0	0	0	0	0
1	42	0	1e6	0	0	0	0	0	0
1	43	0	1e6	0	0	0	0	0	0
1	44	0	1e6	0	0	0	0	0	0
1	45	0	1e6	0	0	0	0	0	0
1	46	0	1e6	0	0	0	0	0	0
1	47	0	1e6	0	0	0	0	0	0
1	5	6	0.001	0	0	0	0	0	0
1	7	8	0.001	0	0	0	0	0	0
1	9	10	0.001	0	0	0	0	0	0
1	4	12	0.001	0	0	0	0	0	0
1	11	17	0.001	0	0	0	0	0	0
1	12	14	0.001	0	0	0	0	0	0
1	14	16	0.001	0	0	0	0	0	0
1	13	15	0.001	0	0	0	0	0	0
1	15	17	0.001	0	0	0	0	0	0
7	1	48	0.01	1e6	0	0	0	0	0
7	49	3	0.01	1e6	0	0	0	0	0
7	2	48	0.01	1e6	0	0	0	0	0
7	49	1	0.01	1e6	0	0	0	0	0
7	3	48	0.01	1e6	0	0	0	0	0
7	49	2	0.01	1e6	0	0	0	0	0
1	49	0	1e6	0	0	0	0	0	0
3	48	49	0.001	0	0	0	0	0	0
7	1	50	0.01	1e6	0	0	0	0	0
7	51	3	0.01	1e6	0	0	0	0	0
7	2	50	0.01	1e6	0	0	0	0	0
7	51	1	0.01	1e6	0	0	0	0	0
